NAME_GENERALISED,LAT,LON,COUNT
Building_233,42.340233000000005,-70.883301,3
Building_234,42.246125,-73.361858,3
Building_235,41.57072,-70.556682,3
Building_236,42.226949,-72.74158800000001,3
Building_237,41.793699,-70.638745,3
Building_238,41.683488,-70.510786,3
Building_239,42.140346,-70.997861,3
Building_240,41.670154,-70.06519399999999,3
Building_241,41.706123,-70.164823,3
Building_242,42.66816,-72.055644,3
Building_243,41.846878,-71.24486999999999,3
Building_244,42.429688,-71.512514,3
Building_245,41.916805,-70.0271,3
Building_246,42.132051,-71.75031800000001,3
Building_247,42.128937,-71.655787,3
Building_248,42.05257,-72.777353,3
Building_249,42.609509,-72.74698000000001,3
Building_250,42.24158900000001,-71.082651,2
Building_251,42.64042,-70.77117199999999,2
Building_252,42.231947,-71.372963,2
Building_253,42.002634,-70.86370600000001,2
Building_254,42.452045,-73.26054,2
Building_255,42.535857,-73.24113299999999,2
Building_256,42.838603000000006,-71.011997,2
Building_257,42.648697,-71.919896,2
Building_258,42.040515,-71.109329,2
Building_259,41.704066,-70.15065,2
Building_260,42.071188,-72.41771800000001,2
Building_261,42.481395,-72.589793,2
Building_262,42.459222,-72.216335,2
Building_263,42.62101,-71.31481,2
Building_264,41.37295,-70.482349,2
Building_265,41.748854,-70.74053599999998,2
Building_266,42.311693,-71.940282,2
Building_267,42.609509,-72.74698000000002,2
Building_268,41.735497,-70.157388,2
Building_269,42.132461,-71.054013,2
Building_270,42.039991,-71.53240600000001,2
Building_271,42.66495,-71.712025,2
Building_272,42.375967,-71.118275,2
Building_273,42.10365,-73.359887,2
Building_274,42.604845000000005,-72.078823,2
Building_275,42.093596000000005,-72.321494,2
Building_276,42.256691,-72.158169,2
Building_277,42.626223,-70.85723,2
Building_278,41.718217,-70.901151,2
Building_279,42.124762,-72.110888,2
Building_280,42.080784,-71.715992,2
Building_281,42.503376,-71.272644,1
Building_282,42.50128,-70.897502,1
Building_283,41.6392025,-70.9815648,1
Building_284,41.6420636,-70.8889896,1
Building_285,42.520838,-71.770876,1
Building_286,42.5369864,-70.9465423,1
Building_287,41.650307,-70.313515,1
Building_288,41.6402886,-70.9274583,1
Building_289,42.593384,-72.230228,1
Building_290,42.556617,-72.517075,1
Building_291,41.635937,-70.92991,1
Building_292,42.6653405,-71.3038939,1
Building_293,41.5683439,-70.5940062,1
Building_294,42.642513,-71.3062,1
Building_295,42.638893,-71.32210699999997,1
Building_296,42.675549,-73.11810799999998,1
Building_297,41.651745,-70.294235,1
Building_298,42.677091,-72.453876,1
Building_299,42.613102,-70.66085,1
Building_300,41.6050403,-70.4944565,1
Building_301,42.6087525,-72.5857131,1
Building_302,42.586516,-71.988062,1
Building_303,42.586487,-71.80521,1
Building_304,41.6318,-70.8801,1
Building_305,42.580627,-72.623634,1
Building_306,42.5805281,-71.1438654,1
Building_307,42.77449,-71.07901,1
Building_308,42.573654,-71.640986,1
Building_309,42.563482,-72.07547199999999,1
Building_310,42.562221,-71.58484399999998,1
Building_311,42.812358,-70.89109499999998,1
Building_312,42.5587666,-71.1368606,1
Building_313,42.6257767,-71.3593401,1
Building_314,41.9799756,-71.3329695,1
Building_315,41.6614745,-70.9425593,1
Building_316,41.6624796,-70.3008223,1
Building_317,42.18736,-71.195955,1
Building_318,42.19397,-73.361473,1
Building_319,41.838061,-71.07761500000001,1
Building_320,42.209151,-71.683644,1
Building_321,42.21004,-70.999539,1
Building_322,42.220395,-72.834999,1
Building_323,42.238427,-71.91234,1
Building_324,41.791736,-70.75787199999999,1
Building_325,42.24188,-72.146863,1
Building_326,42.244949,-72.50014300000001,1
Building_327,41.7847869,-71.3116365,1
Building_328,42.254399,-73.42904,1
Building_329,42.2590345,-71.8139319,1
Building_330,42.265556,-71.818665,1
Building_331,42.267564,-72.06687600000001,1
Building_332,42.272062,-71.522795,1
Building_333,42.272617,-71.03133,1
Building_334,42.2793,-71.1657,1
Building_335,42.28348,-71.41845,1
Building_336,42.186893,-73.223105,1
